Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
8/15/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/14/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/13/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/12/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/11/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/10/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/9/2020,BN,Brunei Darussalam,WPRO,0,142,0,3
8/8/2020,BN,Brunei Darussalam,WPRO,1,142,0,3
8/7/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
8/6/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
8/5/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
8/4/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
8/3/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
8/2/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
8/1/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/31/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/30/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/29/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/28/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/27/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/26/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/25/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/24/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/23/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/22/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/21/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/20/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/19/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/18/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/17/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/16/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/15/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/14/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/13/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/12/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/11/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/10/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/9/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/8/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/7/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/6/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/5/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/4/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/3/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/2/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
7/1/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/30/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/29/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/28/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/27/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/26/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/25/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/24/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/23/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/22/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/21/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/20/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/19/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/18/2020,BN,Brunei Darussalam,WPRO,0,141,0,3
6/17/2020,BN,Brunei Darussalam,WPRO,0,141,1,3
6/16/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/15/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/14/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/13/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/12/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/11/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/10/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/9/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/8/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/7/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/6/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/5/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/4/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/3/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/2/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
6/1/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
5/31/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
5/30/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
5/29/2020,BN,Brunei Darussalam,WPRO,0,141,0,2
5/28/2020,BN,Brunei Darussalam,WPRO,0,141,1,2
5/27/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
5/26/2020,BN,Brunei Darussalam,WPRO,0,141,0,1
